Score1,Score2,Score3,Score4,Score5,Score6
-385.0,-334.0,-170.0,-110.0,-177.0,-107.0
-271.0,-178.0,-148.0,-171.0,-157.0,-91.0
-248.0,-285.0,-152.0,-149.0,-165.0,-104.0
-273.0,-192.0,-154.0,-110.0,-162.0,-99.0
-248.0,-176.0,-169.0,-93.0,-132.0,-80.0
-241.0,-269.0,-139.0,-82.0,-146.0,-105.0
-236.0,-347.0,-150.0,-113.0,-131.0,-68.0
-182.0,-192.0,-198.0,-125.0,-288.0,-130.0
-211.0,-349.0,-162.0,-96.0,-152.0,-92.0
-165.0,-319.0,-202.0,-105.0,-150.0,-84.0
-228.0,-175.0,-167.0,-86.0,-111.0,-87.0
-284.0,-260.0,-150.0,-111.0,-123.0,-114.0
-375.0,-300.0,-126.0,-123.0,-108.0,-124.0
-299.0,-283.0,-197.0,-127.0,-98.0,-88.0
-388.0,-265.0,-164.0,-108.0,-136.0,-78.0
-337.0,-261.0,-125.0,-112.0,-254.0,-141.0
-327.0,-281.0,-132.0,-94.0,-135.0,-123.0
-226.0,-249.0,-151.0,-110.0,-126.0,-124.0
-317.0,-308.0,-186.0,-111.0,-125.0,-136.0
-319.0,-246.0,-160.0,-238.0,-109.0,-115.0
-339.0,-381.0,-133.0,-112.0,-132.0,-93.0
-325.0,-264.0,-144.0,-92.0,-139.0,-102.0
-344.0,-264.0,-176.0,-98.0,-134.0,-117.0
-275.0,-214.0,-231.0,-133.0,-127.0,-100.0
-348.0,-270.0,-240.0,-116.0,-133.0,-111.0
-295.0,-411.0,-172.0,-94.0,-122.0,-97.0
-221.0,-250.0,-116.0,-92.0,-146.0,-112.0
-331.0,-237.0,-143.0,-118.0,-97.0,-116.0
-500.0,-221.0,-137.0,-145.0,-138.0,-109.0
-428.0,-370.0,-142.0,-99.0,-130.0,-127.0
-361.0,-253.0,-166.0,-124.0,-168.0,-139.0
-344.0,-220.0,-203.0,-106.0,-127.0,-115.0
-247.0,-241.0,-165.0,-83.0,-131.0,-141.0
-375.0,-230.0,-124.0,-87.0,-121.0,-79.0
-438.0,-212.0,-163.0,-109.0,-128.0,-122.0
-245.0,-320.0,-163.0,-117.0,-154.0,-70.0
-429.0,-204.0,-253.0,-104.0,-126.0,-109.0
-440.0,-127.0,-144.0,-80.0,-182.0,-128.0
-247.0,-149.0,-158.0,-107.0,-127.0,-91.0
-241.0,-172.0,-148.0,-102.0,-128.0,-96.0
-500.0,-289.0,-130.0,-107.0,-134.0,-138.0
-163.0,-191.0,-183.0,-88.0,-116.0,-203.0
-248.0,-249.0,-177.0,-89.0,-143.0,-108.0
-273.0,-263.0,-157.0,-96.0,-98.0,-96.0
-212.0,-190.0,-183.0,-120.0,-141.0,-96.0
-211.0,-208.0,-169.0,-101.0,-326.0,-110.0
-209.0,-205.0,-157.0,-111.0,-99.0,-110.0
-227.0,-214.0,-167.0,-113.0,-185.0,-97.0
-299.0,-362.0,-219.0,-111.0,-114.0,-123.0
-164.0,-201.0,-141.0,-90.0,-115.0,-106.0
-167.0,-302.0,-162.0,-97.0,-119.0,-108.0
-219.0,-285.0,-143.0,-118.0,-107.0,-105.0
-305.0,-212.0,-184.0,-116.0,-98.0,-136.0
-248.0,-239.0,-126.0,-116.0,-118.0,-82.0
-260.0,-259.0,-124.0,-97.0,-121.0,-123.0
-195.0,-229.0,-155.0,-101.0,-126.0,-116.0
-500.0,-253.0,-199.0,-116.0,-94.0,-117.0
-264.0,-243.0,-100.0,-127.0,-163.0,-95.0
-291.0,-161.0,-132.0,-95.0,-130.0,-194.0
-218.0,-295.0,-179.0,-121.0,-136.0,-94.0
-178.0,-198.0,-120.0,-117.0,-124.0,-99.0
-217.0,-179.0,-201.0,-94.0,-93.0,-87.0
-212.0,-232.0,-162.0,-102.0,-112.0,-107.0
-262.0,-238.0,-181.0,-95.0,-103.0,-173.0
-234.0,-139.0,-179.0,-163.0,-104.0,-251.0
-163.0,-222.0,-225.0,-114.0,-111.0,-111.0
-152.0,-183.0,-183.0,-97.0,-135.0,-95.0
-229.0,-213.0,-143.0,-94.0,-119.0,-123.0
-180.0,-175.0,-161.0,-99.0,-99.0,-128.0
-185.0,-149.0,-156.0,-151.0,-158.0,-91.0
-426.0,-156.0,-244.0,-91.0,-115.0,-113.0
-302.0,-240.0,-159.0,-110.0,-136.0,-112.0
-262.0,-258.0,-159.0,-102.0,-138.0,-104.0
-265.0,-141.0,-190.0,-229.0,-99.0,-112.0
-233.0,-270.0,-165.0,-131.0,-120.0,-121.0
-248.0,-172.0,-158.0,-121.0,-92.0,-89.0
-436.0,-166.0,-118.0,-91.0,-117.0,-100.0
-373.0,-157.0,-181.0,-82.0,-110.0,-105.0
-296.0,-131.0,-145.0,-110.0,-110.0,-113.0
-249.0,-176.0,-196.0,-83.0,-123.0,-122.0
-302.0,-237.0,-124.0,-119.0,-138.0,-120.0
-371.0,-208.0,-143.0,-101.0,-112.0,-106.0
-265.0,-130.0,-203.0,-99.0,-105.0,-119.0
-315.0,-173.0,-105.0,-112.0,-116.0,-98.0
-248.0,-226.0,-125.0,-86.0,-90.0,-79.0
-384.0,-188.0,-129.0,-81.0,-105.0,-319.0
-500.0,-150.0,-204.0,-121.0,-114.0,-107.0
-285.0,-190.0,-164.0,-103.0,-116.0,-162.0
-263.0,-226.0,-183.0,-100.0,-109.0,-125.0
-262.0,-196.0,-144.0,-83.0,-120.0,-103.0
-185.0,-187.0,-155.0,-91.0,-141.0,-107.0
-279.0,-160.0,-162.0,-106.0,-117.0,-128.0
-239.0,-153.0,-126.0,-77.0,-135.0,-120.0
-265.0,-195.0,-150.0,-94.0,-117.0,-137.0
-307.0,-372.0,-180.0,-93.0,-137.0,-110.0
-207.0,-261.0,-149.0,-95.0,-86.0,-127.0
-191.0,-208.0,-159.0,-84.0,-96.0,-145.0
-262.0,-226.0,-101.0,-92.0,-122.0,-127.0
-232.0,-260.0,-145.0,-98.0,-100.0,-101.0
-161.0,-229.0,-168.0,-115.0,-148.0,-139.0
-220.0,-185.0,-158.0,-292.0,-113.0,-121.0
-182.0,-206.0,-141.0,-121.0,-126.0,-91.0
-210.0,-148.0,-157.0,-114.0,-143.0,-122.0
-244.0,-458.0,-143.0,-86.0,-121.0,-118.0
-284.0,-201.0,-159.0,-249.0,-141.0,-106.0
-206.0,-178.0,-133.0,-89.0,-107.0,-138.0
-290.0,-162.0,-153.0,-132.0,-183.0,-228.0
-294.0,-277.0,-152.0,-115.0,-99.0,-124.0
-268.0,-288.0,-175.0,-109.0,-128.0,-101.0
-322.0,-263.0,-158.0,-162.0,-81.0,-133.0
