Score3,Score1,Score2
91.7530538,93.25325233,86.59857377
90.20687893,74.37805212,89.04772216
93.45286389,91.96242444,86.19546867
90.44298344,92.2273749,86.76329674
90.78584036,90.37923457,86.61533249
92.41829456,89.86058571,86.72058254
92.69710202,93.41154977,87.33687343
91.24333262,90.63768785,84.86996159
90.75376804,72.77746015,84.66446418
90.21948465,94.72871781,87.29261075
90.64038781,93.52355508,90.21680988
90.80762579,88.95105811,87.29710473
92.72247497,91.43880587,86.56073064
91.60293936,91.37852381,88.40559984
93.50769243,92.19483726,88.42244588
92.692776,91.45253336,88.65392331
91.17126186,91.66154295,79.19020795
90.58820845,90.30892835,89.09163094
90.75550486,91.80041469,88.45476039
86.81000134,85.01426661,88.34330188
93.22296086,94.24534295,89.83851816
91.36840408,90.40263447,89.54693914
92.81066236,92.84815598,87.59146709
90.62590853,91.77551623,87.94284499
93.10931202,93.13094505,86.05981007
89.88066948,89.44515808,89.04141439
88.15000812,92.95729065,87.70978423
90.11664363,92.86058637,85.12436285
92.61596402,90.48986973,83.95852549
92.6815236,92.89165566,82.14277817
93.84025047,92.1575168,88.22827637
91.1202495,92.41953232,88.59424243
89.68681238,90.38580102,87.73402914
91.2072445,91.93783131,88.89297743
86.53876053,92.5262982,89.18791117
92.91342142,91.41389148,85.80087267
85.91981675,91.6474865,86.40285852
88.99188517,92.92169662,93.42286023
88.76336786,92.16740079,87.17312234
87.55918864,90.87851011,88.89797936
87.93412432,75.61414455,89.00310776
92.6172081,91.37471225,83.1463623
91.73261398,92.70428133,88.58873149
92.71864745,91.80320532,86.34240023
93.38232751,86.69518796,87.35017234
93.55634321,90.35326808,89.20505464
92.31587844,90.12043474,88.54238648
94.38837707,91.3574508,88.91987721
86.5206326,92.81544547,78.44987832
85.25505947,91.59903903,85.21512589
91.65622698,89.93204917,80.17964996
93.00431304,75.25227993,89.37042901
93.13645294,92.08207453,88.96635742
83.80763328,93.02175587,89.03787963
93.50034232,74.95227775,87.57980176
87.53351354,90.61549248,90.45133053
88.09228227,90.66885247,84.63871311
92.55717639,89.57017839,83.88537557
92.00142257,90.55610299,88.76959072
86.34540809,90.90451121,88.60307124
85.7439421,86.55841425,90.48954594
93.11122704,89.72021952,88.55730426
93.08601424,91.24186414,89.6983496
92.417532,91.46615526,90.26670152
91.57859969,90.2502932,89.24602514
91.76222271,92.09860856,88.87370793
87.33775085,89.98944241,88.60206784
87.1902544,92.3305478,88.61343787
