Score1,Score2,Score3,Score4,Score5,Score6
92.19483726,88.42244588,-14.34296571,94.20524182,-831.6543998,-13.70794398
91.45253336,88.65392331,-13.10662778,93.87045657,-803.6177969,-14.39746062
91.66154295,79.19020795,-13.46919903,94.39848853,,
90.30892835,89.09163094,90.8853965,93.21214445,,
91.80041469,88.45476039,-14.63766012,94.17571216,,
85.01426661,88.34330188,-13.80093643,93.54479824,,
94.24534295,89.83851816,-14.31368673,94.72166837,,
90.40263447,89.54693914,-14.2007665,94.54031534,,
92.84815598,87.59146709,89.89545936,94.83602851,,
91.77551623,87.94284499,91.27191392,92.66331668,,
93.13094505,86.05981007,88.29581398,93.14890351,,
89.44515808,89.04141439,88.68708917,93.40826589,,
92.95729065,87.70978423,90.12050869,94.75496131,,
92.86058637,85.12436285,92.79497066,92.74977555,,
90.48986973,83.95852549,90.01960403,93.10064837,,
92.89165566,82.14277817,90.86717029,93.4641968,,
92.1575168,88.22827637,91.93285249,93.07920482,,
92.41953232,88.59424243,93.55968915,95.65635558,,
90.38580102,87.73402914,89.02089563,92.47400818,,
91.93783131,88.89297743,93.07978911,94.88729582,,
92.5262982,89.18791117,91.11353281,94.54544685,,
91.41389148,85.80087267,91.48805341,92.39167252,,
91.6474865,86.40285852,94.22978714,92.07002735,,
92.92169662,93.42286023,90.24241509,93.46443871,,
92.16740079,87.17312234,90.94163158,95.15873485,,
90.87851011,88.89797936,93.83101016,95.48349645,,
75.61414455,89.00310776,90.15214162,94.45395611,,
91.37471225,83.1463623,91.01693897,94.38235696,,
92.70428133,88.58873149,93.19079588,94.08261266,,
91.80320532,86.34240023,93.53986558,92.88424721,,
86.69518796,87.35017234,90.53291808,92.30527419,,
90.35326808,89.20505464,92.90850128,93.96941254,,
90.12043474,88.54238648,94.82054962,93.36001308,,
91.3574508,88.91987721,92.53564479,94.36834178,,
92.81544547,78.44987832,92.55623488,93.65856637,,
91.59903903,85.21512589,90.20294227,93.48265417,,
89.93204917,80.17964996,93.00821742,93.74016867,,
75.25227993,89.37042901,93.61998388,92.36953192,,
92.08207453,88.96635742,94.1657914,90.76622754,,
93.02175587,89.03787963,92.55503546,92.15338128,,
74.95227775,87.57980176,93.84459899,91.49645179,,
90.61549248,90.45133053,93.051739,93.2414316,,
90.66885247,84.63871311,94.97977975,93.60859002,,
89.57017839,83.88537557,92.65596312,92.78406682,,
