Rollouts,Average Reward,Standard Deviation
259,-246.5206497,2.482291322
260,-126.1043031,0.690509142
261,-233.7471739,3.860942822
262,-122.7142835,1.516163292
263,-120.5620195,0.736256707
264,-241.848767,2.98998814
265,-126.5329438,1.818805636
266,-126.0518347,3.121575717
267,-124.5410212,1.243065789
268,-3.239878946,1.309043835
269,-125.7365625,0.671749559
270,-120.9122315,1.502354552
271,-3.433432612,2.049513233
272,-6.350571048,0.86972708
273,-124.0060717,2.543561999
274,-122.3933092,2.030464941
275,-125.949606,2.262424327
276,-241.1682448,1.601491604
277,-128.7983695,3.654066168
278,-122.7508948,2.973226583
279,-127.0385835,0.867819328
280,-129.2380021,1.798124746
281,-115.8436901,1.141221469
282,-332.825208,56.76268208
283,-126.0962808,2.260425518
284,-127.3604929,0.303977605
285,-238.3275884,1.274653613
286,-229.3286881,4.339887123
287,-127.5481889,1.250575886
288,-244.077491,4.367735947
289,-119.477789,2.677810931
290,-117.0292746,1.702478061
291,-243.5852731,5.790347654
292,-239.0560259,3.73152555
293,-126.9222807,1.467933051
294,-123.2405,2.28416874
295,-245.4131168,4.555146716
296,-129.2304247,2.890721494
297,-128.3278908,1.139209678
298,-120.5878629,1.31864698
299,-233.4617214,3.039946179
300,-119.5604374,2.0506411
