Score,Score,Score,Score,Score
-1077.8345802426338,-1113.711243480444,-1149.4458405524492,-1217.9998657642282,-1440.940795660019
-1592.603432416916,-1544.686294078827,-1099.2698588371277,-1327.7931782007215,-963.3807795122266
-965.1707868352532,-929.9425037689508,-998.0332868993282,-1373.6845116615295,-1516.3258755207062
-1553.4005522727966,-904.7969247251748,-1073.1863861083984,-1179.474419414997,-1173.364736020565
-1700.4645500183103,-1603.3246335983276,-1806.3892846107483,-1292.507930636406,-1073.3190778195858
-863.2885642461479,-998.0161907710136,-1482.9269754886627,-1302.689365983009,-892.829674936831
-996.0281789898872,-1453.331093788147,-1644.6614842414856,-1293.26874576509,-1183.21233856678
-741.4302423833869,-1630.7298228740692,-1023.9187526106834,-1200.3582565784454,-948.831179484725
-889.6854725629091,-752.1189203336835,-1006.5291712805628,-1571.4892854690552,-858.8499047532678
-1556.1822130680084,-1378.103082895279,-861.6887085586786,-1243.067462861538,-1077.2736470103264
-1470.6028525829315,-1003.0034389793872,-1519.1331939697266,-1285.690125733614,-1268.5325758457184
-1334.120017528534,-914.7707647271454,-1355.5700545310974,-1204.0059957504272,-1220.3475160598755
-869.0831819139421,-1144.3604282140732,-971.6273385286332,-1306.665813267231,-1331.179126739502
-863.5034959167242,-1281.9829708337784,-1086.0544504448771,-1198.3837029337883,-1087.542533159256
-829.0551362708211,-894.5284042954445,-979.9718230962752,-1286.337468802929,-1373.0748452544212
-977.495747640729,-912.1373391523956,-1340.6901378631592,-1495.6931383609772,-1230.1452617645264
-1314.2978480756285,-977.728633120656,-1163.854395985603,-1202.3559177070856,-970.4084277749062
-1320.73736679554,-923.0214232206343,-1190.1809040308,-1130.4666856694969,-747.005696406588
-738.5758287459612,-870.4965397268534,-1140.2982038259506,-1165.4350026398895,-990.6333913318812
-857.767642237246,-1119.5093671679497,-1223.214322805405,-1472.633610844612,-1015.1342320740224
-1111.3184193372726,-1311.624718785286,-1182.0586465895176,-1538.7801131010056,-1347.4876690208912
-1119.724198460579,-888.8815308064222,-1353.2761280536652,-1385.156185388565,-865.8617208525538
-1123.0503591001034,-861.3601642828435,-1203.6468106508255,-1335.461482554674,-809.8356409370899
-841.211635408923,-889.4230326116085,-1002.1472411453724,-1327.8486573696136,-864.6642359755933
-1261.0309654474258,-1214.3519809246063,-1269.480704665184,-1290.792495727539,-904.1797212585808
-1008.1709494292736,-997.8293000757694,-1593.1913402080536,-1359.4693010747433,-876.2936063781381
-857.7607534304261,-921.380542077124,-1043.40068654716,-1204.0931073576212,-1130.9426604248583
-972.6544461101294,-862.6463932991028,-1225.2642209678888,-1356.1587536334991,-991.612205144018
-1353.2241728305817,-1353.3082385063171,-749.0024153627455,-1247.0425689416006,-656.5137347154086
-928.4805781245232,-879.8510589674115,-1068.2807424366474,-1195.7776699066162,-565.7380750768352
-1098.3223536610603,-1072.1615996398032,-1132.6959091871977,-1210.018494606018,-891.7133628875017
-1088.283955335617,-969.4873581901192,-1200.3155874870718,-1200.1235309839249,-1019.1205004006624
-980.603636264801,-818.7407837733626,-943.8767584264278,-1371.2599081024528,-907.9220256730914
-872.485154569149,-1131.0785432755947,-1200.8234127163887,-1273.872584909201,-1010.5660037323833
-1214.7157233953476,-1194.003607928753,-1186.4791116714478,-1361.9826157391071,-1000.8949979096652
-889.0709726959467,-1258.990062236786,-1149.8972668647766,-1371.1852442920208,-1252.617817401886
-1294.2872632741928,-768.2056397795677,-1073.200248338282,-1211.829580694437,-870.7495544925332
-775.0966506674886,-870.3087846133858,-1213.8091522604227,-1279.946429848671,-755.1899593695998
-863.3761790418066,-665.9718888388015,-1217.9316409230232,-1358.309800779447,-984.8985558450222
-1143.2666803598404,-1353.3077178001404,-1113.4772687330842,-1298.7057235240936,-980.847766622901
-635.5130068925209,-1031.57650578022,-1198.7434946373105,-1209.147932946682,-773.8403983488679
-835.3426810950041,-763.6852185437456,-1403.3814787864685,-1325.5387530624866,-991.9506789203732
-910.5973492925988,-1025.7526810467243,-1212.3982830494642,-1299.11057639122,-1188.913443684578
-889.3806404396892,-764.7415143176913,-1084.716225616634,-1192.1176988482475,-1255.9426181316376
-863.1414138749242,-998.848227582872,-1122.0419474840164,-1271.224541530013,-880.2922473708168
-509.96351731801406,-1103.815430894494,-1214.5593309998512,-1242.1227555274963,-752.8611042097909
